"本檔為研究建議，未經人工確認不得使用。"
"作物","建議","理由","來源網址","信心(高/中/低)"
"咖啡","真的無法判斷","農業部將咖啡列為食用的特用作物，但食藥署22類作物表未設咖啡類或明列咖啡，無法只憑果實或種子形態選類。","https://fae.moa.gov.tw/map/food_item.php?id=181&type=AS01；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"油茶","建議類別：乾豆類","食藥署乾豆類成員直接明列茶籽，並註明包含油茶籽。","https://data.fda.gov.tw/data/opendata/export/16/json","高"
"麥蔥","建議類別：小葉菜類","農業部資料指出麥蔥即北蔥、以蔥白及葉食用；食藥署小葉菜類直接明列青蔥。","https://kmweb.moa.gov.tw/subject/subject.php?id=23356；https://data.fda.gov.tw/data/opendata/export/16/json","高"
"可可","真的無法判斷","農業部資料確認可可豆是巧克力食用原料，但食藥署22類作物表未明列可可，無足夠法規依據選類。","https://fae.moa.gov.tw/theme_data.php?id=939&theme=TeachingPlan；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"龍骨瓣莕菜","建議類別：小葉菜類","農業部資料確認龍骨瓣莕菜即野蓮／水蓮、食用細長嫩莖；食藥署小葉菜類直接明列水蓮。","https://fae.moa.gov.tw/map/food_item.php?id=350&type=AS01；https://data.fda.gov.tw/data/opendata/export/16/json","高"
"人心果","建議類別：大漿果類","農業部資料確認其為可食熱帶果樹；依食藥署大漿果類所列多種熱帶大型果實提出類比建議，但表內未直接明列。","https://kmweb.moa.gov.tw/knowledge_view.php?id=5727；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"甜菜","建議類別：根莖菜類","食藥署根莖菜類成員直接明列甜菜根；須確認本登記標的是根用甜菜。","https://data.fda.gov.tw/data/opendata/export/16/json","高"
"蛋黃果","建議類別：大漿果類","農業部高雄場確認蛋黃果為可食熱帶果樹；依食藥署大漿果類的熱帶果實群提出類比建議，但表內未直接明列。","https://www.kdais.gov.tw/ws.php?id=3153&print=Y；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"野薑","建議類別：香辛植物及其他草木本植物（僅限野薑花）","食藥署食用花卉直接明列野薑花；若登記標的是根莖或純觀賞用途，不能套用此建議。","https://data.fda.gov.tw/data/opendata/export/16/json","中"
"嘉寶果","建議類別：小漿果類","農業部資料描述果實約1至3公分、外觀似葡萄且可鮮食；依食藥署小漿果類提出類比建議，但表內未直接明列。","https://kmweb.moa.gov.tw/knowledge_view.php?id=1817；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"茴香","建議類別：香辛植物及其他草木本植物","食藥署分類表同時明列小茴香籽、八角茴香與草木本小茴香，收穫種子或葉部皆落在同一大類。","https://data.fda.gov.tw/data/opendata/export/16/json","高"
"荖藤","建議非食用","農業部資料將荖藤／荖葉描述為與檳榔共同嚼食的民俗作物；食藥署22類作物表未列，建議先按非食用處理。","https://kmweb.moa.gov.tw/redirect_files.php?id=225203&theme=knowledgebase；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"蒟蒻","建議類別：根莖菜類","農業部資料指出食用品種以地下塊莖加工成蒟蒻食品；依收穫部位類比根莖菜，但食藥署表未直接明列。","https://kmweb.moa.gov.tw/theme_data.php?id=54254&sub_theme=variety&theme=news&title=kmweb.coa.gov.tw；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"黃耆","真的無法判斷","農業部資料指出利用部位為乾燥根、定位為保健／藥用植物；食藥署作物分類表未明列，不能逕歸根莖菜。","https://kmweb.moa.gov.tw/redirect_files.php?id=326611&theme=knowledgebase；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"狼尾草","建議非食用","農業部資料明確定位為供草食動物青飼或青貯的芻料作物，不是人食作物。","https://kmweb.moa.gov.tw/subject/subject.php?id=54758&print=Y","高"
"蛇麻","建議類別：香辛植物及其他草木本植物","農業部資料指出蛇麻即啤酒花，採雌花序供啤酒苦味與香氣，性質屬香辛／風味植物；食藥署表未直接明列。","https://kmweb.moa.gov.tw/knowledgebase.php?id=420044；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"龍葵","建議類別：小葉菜類","農業部資料指出主要食用嫩莖葉、作野菜烹調；依收穫部位類比小葉菜，未熟果不可食。","https://kmweb.moa.gov.tw/subject/subject.php?id=39528；https://data.fda.gov.tw/data/opendata/export/16/json","高"
"地黃","真的無法判斷","農業部資料將利用部位列為塊根、主要作藥材；食藥署作物分類表未明列，無法判定是否應納入人食作物類別。","https://kmweb.moa.gov.tw/subject/subject.php?id=42498；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"破布子","建議類別：核果類","農業部資料確認採收並醬漬食用果實；依果實型態與食藥署核果類提出類比建議，但表內未直接明列。","https://kmweb.moa.gov.tw/knowledge_view.php?id=12058；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"睡蓮","真的無法判斷","農業部資料顯示部分香水睡蓮花可泡茶，但其他品種主要觀賞；「睡蓮」未指明品種與用途，不能一律歸為食用花卉。","https://kmweb.moa.gov.tw/subject/subject.php?id=42223&title=kmweb.coa.gov.tw；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"金線連","真的無法判斷","農業部資料將金線連定位為藥用作物／草藥；食藥署作物分類表未直接明列，現有證據不足以決定人食類別。","https://kmweb.moa.gov.tw/knowledgebase.php?func=1&id=19939&type=12781；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"蓖麻","建議非食用","農業部明確指出蓖麻全株有毒、種子毒性最強，並提醒勿採摘或食用。","https://kmweb.moa.gov.tw/theme_data.php?id=44134&sub_theme=attention&theme=news","高"
"愛玉子","建議類別：小漿果類","農業部資料確認愛玉子為榕屬、與無花果同類型隱花果；食藥署小漿果類直接明列無花果，因此提出同類比建議。","https://fae.moa.gov.tw/map/food_item.php?id=207&type=AS01；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"禾本科麥類","建議類別：麥類","食藥署麥類直接涵蓋大麥、小麥、燕麥、黑麥等禾本科麥作。","https://data.fda.gov.tw/data/opendata/export/16/json","高"
