"本檔為研究建議,未經人工確認不得使用。"
"App作物","標準近似名","建議(涵蓋/不涵蓋/無法判斷)","理由","來源","信心(高/中/低)"
"大豆","精製大豆油","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「大豆」不能視為「精製大豆油」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"小米","米","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「小米」不能視為「米」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"小葉菜類","十字花科小葉菜類","無法判斷","App 作物是群組名稱「小葉菜類」，標準近似名「十字花科小葉菜類」只代表群組的一部分，無法視為整組涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"小葉菜類","其他小葉菜類(十字花科小葉菜類除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「十字花科小葉菜類」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#055","中"
"小葉菜類","其他小葉菜類(韭菜、茼蒿、菠菜、葉用豌豆除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「韭菜、茼蒿、菠菜、葉用豌豆」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#053","中"
"小葉菜類","其他小葉菜類(菠菜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「菠菜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#054","中"
"小葉菜類","其他小葉菜類(半結球萵苣、不結球萵苣、芹菜、青蔥、蒜及茼蒿除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「半結球萵苣、不結球萵苣、芹菜、青蔥、蒜、茼蒿」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#017","中"
"小葉菜類","其他小葉菜類(芹菜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「芹菜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#004","中"
"小葉菜類","其他小葉菜類(半結球萵苣、不結球萵苣、蒜、蕗蕎及芹菜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「半結球萵苣、不結球萵苣、蒜、蕗蕎、芹菜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#156","中"
"小葉菜類","其他小葉菜類(茼蒿除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「茼蒿」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#101","中"
"小葉菜類","其他小葉菜類(不結球萵苣、半結球萵苣、羽衣甘藍及蕹菜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「不結球萵苣、半結球萵苣、羽衣甘藍、蕹菜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#149","中"
"小葉菜類","其他小葉菜類(蒜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「蒜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#068","中"
"小葉菜類","其他小葉菜類(?結球萵苣、半結球萵苣、芹菜、青蔥、菠菜、茼蒿除外)","無法判斷","標準近似名含「?」疑似轉碼或原文瑕疵，無法可靠確認 App 作物是否位於排除名單；D 檔第 079 節亦要求回查公告原文，不能據此認定涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#079","低"
"不結球萵苣與半結球萵苣","不結球萵苣","無法判斷","App 名「不結球萵苣與半結球萵苣」與標準名「不結球萵苣」的範圍只部分交集或類型相反，不能整體套用。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"不結球萵苣與半結球萵苣","半結球萵苣","無法判斷","App 名「不結球萵苣與半結球萵苣」與標準名「半結球萵苣」的範圍只部分交集或類型相反，不能整體套用。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"不結球萵苣與半結球萵苣","結球萵苣","無法判斷","App 名「不結球萵苣與半結球萵苣」與標準名「結球萵苣」的範圍只部分交集或類型相反，不能整體套用。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"仙草","仙草(乾)","無法判斷","標準名「仙草(乾)」限定加工型態、食用部位或排除子型態；App 名「仙草」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"包葉菜類","包葉菜類(結球萵苣除外)","無法判斷","App 作物是群組名稱「包葉菜類」，標準近似名「包葉菜類(結球萵苣除外)」只代表群組的一部分，無法視為整組涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"包葉菜類","十字花科包葉菜類","無法判斷","App 作物是群組名稱「包葉菜類」，標準近似名「十字花科包葉菜類」只代表群組的一部分，無法視為整組涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"包葉菜類","其他包葉菜類(十字花科包葉菜類、結球萵苣除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「十字花科包葉菜類、結球萵苣」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#005","中"
"包葉菜類","其他包葉菜類(結球萵苣除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「結球萵苣」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#009","中"
"玉米","米","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「玉米」不能視為「米」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"瓜果類","其他瓜果類(西瓜、洋香瓜、香瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「西瓜、洋香瓜、香瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#064","中"
"瓜果類","其他瓜果類(洋香瓜、西瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「洋香瓜、西瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#024","中"
"瓜果類","其他瓜果類(洋香瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「洋香瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#033","中"
"瓜果類","其他瓜果類(西瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「西瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#030","中"
"瓜果類","其他瓜果類(洋香瓜、香瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「洋香瓜、香瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#046","中"
"瓜菜類","其他瓜菜類(小黃瓜、胡瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「小黃瓜、胡瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#015","中"
"瓜菜類","其他瓜菜類(小黃瓜、冬瓜、南瓜、扁蒲、胡瓜、苦瓜、夏南瓜、隼人瓜、絲瓜、越瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「小黃瓜、冬瓜、南瓜、扁蒲、胡瓜、苦瓜、夏南瓜、隼人瓜、絲瓜、越瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#012","中"
"瓜菜類","其他瓜菜類(冬瓜、南瓜、扁蒲、苦瓜、夏南瓜、隼人瓜、絲瓜、越瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「冬瓜、南瓜、扁蒲、苦瓜、夏南瓜、隼人瓜、絲瓜、越瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#032","中"
"瓜菜類","其他瓜菜類(南瓜、小黃瓜、胡瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「南瓜、小黃瓜、胡瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#029","中"
"瓜菜類","其他瓜菜類(胡瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「胡瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#047","中"
"瓜菜類","其他瓜菜類(夏南瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「夏南瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#139","中"
"瓜菜類","其他瓜菜類(冬瓜、南瓜、扁蒲、苦瓜、夏南瓜、隼人瓜、絲瓜、越瓜、胡瓜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「冬瓜、南瓜、扁蒲、苦瓜、夏南瓜、隼人瓜、絲瓜、越瓜、胡瓜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#094","中"
"甘藷","葉用甘藷","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「甘藷」不能視為「葉用甘藷」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"竹","竹筍","無法判斷","只能確認名稱近似；附表五及本機分類資料不足以證明「竹」與「竹筍」是同一作物、同一部位及同一產品型態。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","低"
"竹","其他根莖菜類(茭白筍、蓮藕、山藥、洋蔥、紅蔥頭、馬鈴薯、黑皮波羅門參、牛蒡、百合鱗莖、竹筍、芋頭、豆薯除外)","無法判斷","「竹」與排除項目的部位或型態名稱相近（排除：茭白筍、蓮藕、山藥、洋蔥、紅蔥頭、馬鈴薯、黑皮波羅門參、牛蒡、百合鱗莖、竹筍、芋頭、豆薯），但不是可安全視為完全相同的字串。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#158","低"
"竹","其他根莖菜類(牛蒡、竹筍、洋蔥、胡蘿蔔、黑皮波羅門參、蘿蔔除外)","無法判斷","「竹」與排除項目的部位或型態名稱相近（排除：牛蒡、竹筍、洋蔥、胡蘿蔔、黑皮波羅門參、蘿蔔），但不是可安全視為完全相同的字串。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#082","低"
"芋","芋頭","無法判斷","只能確認名稱近似；附表五及本機分類資料不足以證明「芋」與「芋頭」是同一作物、同一部位及同一產品型態。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","低"
"芋","其他根莖菜類(芋頭、洋蔥、馬鈴薯、甜菜根、人參(鮮)、牛蒡、豆薯、百合鱗莖、紅蔥頭、黑皮波羅門參、蕎頭、薑、蘆筍除外)","不涵蓋","App 作物「芋」明列於排除名單（芋頭、洋蔥、馬鈴薯、甜菜根、人參(鮮)、牛蒡、豆薯、百合鱗莖、紅蔥頭、黑皮波羅門參、蕎頭、薑、蘆筍），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#021","高"
"芋","其他根莖菜類(茭白筍、蓮藕、山藥、洋蔥、紅蔥頭、馬鈴薯、黑皮波羅門參、牛蒡、百合鱗莖、竹筍、芋頭、豆薯除外)","不涵蓋","App 作物「芋」明列於排除名單（茭白筍、蓮藕、山藥、洋蔥、紅蔥頭、馬鈴薯、黑皮波羅門參、牛蒡、百合鱗莖、竹筍、芋頭、豆薯），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#158","高"
"芋","其他根莖菜類(胡蘿蔔及芋頭除外)","不涵蓋","App 作物「芋」明列於排除名單（胡蘿蔔、芋頭），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#119","高"
"芋","其他根莖菜類(芋頭、胡蘿蔔除外)","不涵蓋","App 作物「芋」明列於排除名單（芋頭、胡蘿蔔），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#146","高"
"芋","其他根莖菜類(山藥、牛蒡、甘藷、芋頭、豆薯、洋蔥、胡蘿蔔、百合鱗莖、紅蔥頭、馬鈴薯、黑皮波羅門參、蒜頭、樹薯、蕎頭、狗尾草根、闊葉大豆根及蘆筍除外)","不涵蓋","App 作物「芋」明列於排除名單（山藥、牛蒡、甘藷、芋頭、豆薯、洋蔥、胡蘿蔔、百合鱗莖、紅蔥頭、馬鈴薯、黑皮波羅門參、蒜頭、樹薯、蕎頭、狗尾草根、闊葉大豆根、蘆筍），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#070","高"
"豆菜類","其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#013","中"
"豆菜類","其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、萊豆、菜豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、萊豆、菜豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#019","中"
"豆菜類","其他豆菜類(毛豆除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「毛豆」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#059","中"
"豆菜類","其他豆菜類(毛豆、菜豆、蠶豆除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「毛豆、菜豆、蠶豆」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#166","中"
"豆菜類","其他豆菜類(刀豆、毛豆、花豆、扁豆、豇豆、菜豆、萊豆、豌豆、樹豆、翼豆、蠶豆、鷹嘴豆除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「刀豆、毛豆、花豆、扁豆、豇豆、菜豆、萊豆、豌豆、樹豆、翼豆、蠶豆、鷹嘴豆」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#106","中"
"豆菜類","其他豆菜類(毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#077","中"
"豆菜類","其他豆菜類(毛豆、刀豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「毛豆、刀豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#142","中"
"豆菜類","其他豆菜類(萊豆除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「萊豆」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#080","中"
"亞麻","亞麻籽","無法判斷","標準名「亞麻籽」限定加工型態、食用部位或排除子型態；App 名「亞麻」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"果菜類","其他果菜類(甜椒、金針除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「甜椒、金針」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#157","中"
"果菜類","其他果菜類(金針除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「金針」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#083","中"
